Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,AMC,AML,AMR,DC,DL,DM,DR,MC,ML,MR,ST,WBL,WBR,cluster
Bernardo Silva,"MC,AMC",29,176,180,Portugal,Manchester City,14,15,17,15,17,13,10,13,2,12,17,13,8,18,13,16,15,16,15,17,15,16,17,12,17,13,16,20,15,19,16,7,17,14,17,9,16,10,16,6,13,2,2,1,3,2,1,1,1,2,2,2,173,64,20,8,8500,1994/8/10,208785.0,,,left,False,True,False,True,0,0,0,0,0,0,True,0,0,0,0,0,"['AMC_0', 'MC_1']"
Rodri,DM,27,175,175,Spain,Manchester City,7,8,13,9,15,8,13,14,8,12,15,8,17,14,13,18,15,17,16,14,18,13,9,11,13,17,16,16,14,13,12,17,16,13,17,16,17,10,15,4,10,3,1,4,2,3,2,2,2,1,1,1,191,75,13,20,8250,1996/6/22,185587.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Vinícius Júnior,AML,23,174,184,"Brazil,Spain",R. Madrid,7,13,18,16,13,8,11,12,4,3,14,12,6,15,15,14,15,15,13,14,15,18,16,12,16,9,13,15,19,16,14,8,15,17,14,12,13,8,12,5,10,2,1,4,2,1,1,3,4,3,2,3,177,62,12,20,8000,2000/7/12,215753.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Rúben Dias,DC,26,174,177,Portugal,Manchester City,4,11,12,6,13,5,15,4,5,17,14,8,18,13,16,17,18,15,16,13,15,18,8,17,8,17,16,17,13,13,12,16,18,13,18,16,18,13,15,4,8,1,3,2,3,1,1,3,1,3,2,2,186,83,12,20,8500,1997/5/14,202986.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Heung-Min Son,AML,31,173,173,South Korea,Tottenham Hotspur,14,14,16,18,13,13,8,16,6,5,13,9,6,17,8,15,6,17,11,12,14,14,13,13,18,7,14,17,16,14,12,10,16,16,16,10,16,5,14,5,14,2,1,1,3,3,3,1,1,2,2,2,183,77,19,20,8250,1992/7/8,222704.0,,,both,True,False,False,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Sadio Mané,AML,31,172,184,Senegal,FC Bayern München,11,12,16,15,16,8,14,12,3,8,14,13,10,17,14,17,15,15,12,14,14,17,16,13,18,9,16,17,15,16,16,12,17,15,14,11,12,9,17,5,11,1,3,1,3,1,3,1,1,2,2,3,174,69,14,20,8600,1992/4/10,354794.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Thomas Müller,AMC,34,171,174,Germany,FC Bayern München,11,17,11,13,13,7,14,10,8,9,16,13,11,13,17,20,13,16,16,18,16,18,13,17,20,11,20,17,12,12,13,13,20,14,19,11,16,9,17,2,18,2,3,2,2,1,1,1,1,3,1,1,185,76,13,20,8495,1989/9/13,335615.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Federico Valverde,MC,25,169,175,"Uruguay,Spain",R. Madrid,13,13,12,11,14,12,12,15,10,13,15,12,13,13,12,14,15,12,14,14,14,15,14,13,15,12,17,17,17,15,15,12,17,17,17,14,15,8,14,6,14,2,3,3,1,3,2,3,3,2,3,2,181,74,12,20,7500,1998/7/22,209790.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Thiago,DM,32,169,173,"Spain,Brazil",Liverpool,13,14,17,9,18,12,10,12,5,12,18,12,15,18,14,16,12,17,14,18,15,15,18,11,15,13,15,15,14,17,15,10,12,11,14,9,14,8,14,12,11,3,2,4,1,1,3,3,3,1,3,3,174,70,10,20,8000,1991/4/11,260981.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Aymeric Laporte,DC,29,168,173,"Spain,France,Pays Basque",Manchester City,8,11,13,8,15,10,16,11,8,16,16,11,15,15,13,16,15,16,15,16,16,14,12,13,14,16,13,14,14,13,12,16,15,14,15,14,15,8,15,7,8,2,2,2,3,2,1,3,2,1,1,3,191,85,20,10,8250,1994/5/27,150789.0,,,left,False,True,False,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_1']
Thiago Silva,DC,39,168,174,"Brazil,France",Chelsea,4,5,9,7,14,8,17,7,7,17,13,14,16,13,17,17,15,20,17,13,17,15,8,19,8,19,15,14,10,12,16,13,14,10,14,14,15,7,13,11,8,4,2,2,3,1,3,2,2,1,1,2,183,79,8,20,7750,1984/9/22,114999.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Raheem Sterling,"AML,AMR",29,168,180,"England,Jamaica",Chelsea,8,13,15,13,13,10,12,12,5,7,13,8,8,13,12,18,11,12,13,13,13,13,14,12,20,9,14,15,18,18,14,8,20,17,18,12,14,4,13,2,14,2,2,3,3,2,1,3,2,1,2,3,170,69,8,20,7750,1994/12/8,405971.0,,,right,False,False,True,0,True,True,0,0,0,0,0,0,0,0,0,0,"['AML_0', 'AMR_0']"
N'Golo Kanté,MC,32,167,170,"France,Mali",Chelsea,6,12,11,10,14,8,10,10,6,12,15,9,19,14,15,20,15,14,16,14,16,19,13,5,15,15,20,20,14,13,15,7,18,14,18,11,19,5,20,8,10,1,3,2,2,1,3,3,1,2,3,2,168,72,8,20,8000,1991/3/29,336376.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
João Cancelo,"DR,WBR",29,167,167,Portugal,Manchester City,12,16,16,11,15,12,10,12,12,9,16,11,13,17,12,14,12,12,12,16,15,13,17,7,14,13,13,14,16,16,14,11,15,16,14,12,14,13,13,9,14,4,1,1,1,4,3,3,3,3,2,1,182,74,11,20,8000,1994/5/27,208785.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,True,"['DR_1', 'WBR_0']"
Kai Havertz,AMC,24,167,180,Germany,Chelsea,11,12,14,16,18,11,13,11,8,7,14,12,10,17,11,15,11,17,10,17,16,10,15,7,17,10,15,13,13,13,13,14,16,17,15,13,13,6,16,4,16,2,2,3,1,3,3,3,2,3,2,3,186,77,20,10,7250,1999/6/11,173988.0,,,left,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_0']
Jack Grealish,"AML,AMC",28,166,175,"England,Republic of Ireland",Manchester City,13,16,17,14,15,11,11,13,3,6,14,12,9,16,11,13,14,14,11,16,13,14,16,12,13,11,14,15,15,15,14,7,15,15,14,14,14,13,14,12,9,3,1,1,1,3,2,2,4,3,1,1,175,82,15,20,7500,1995/9/10,313178.0,,,right,False,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,"['AMC_1', 'AML_0']"
Antonio Rüdiger,DC,30,166,166,"Germany,Sierra Leone",R. Madrid,5,10,10,7,10,9,15,8,14,15,12,7,17,11,18,15,18,13,14,10,17,17,9,18,8,14,13,15,17,9,17,15,15,16,16,18,16,14,12,14,13,3,3,1,2,1,4,1,3,3,3,1,190,85,10,20,7000,1993/3/3,244754.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Toni Kroos,MC,33,166,176,Germany,R. Madrid,19,18,14,13,18,14,7,17,8,8,20,13,9,16,9,17,9,18,14,18,17,10,11,12,15,14,16,11,11,10,12,10,12,12,12,14,13,10,14,7,13,1,3,2,3,1,1,3,1,1,1,3,183,76,15,20,7700,1990/1/4,359588.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Luis Díaz,AML,26,166,172,Colombia,Liverpool,9,12,18,15,18,10,13,13,4,7,14,5,8,18,13,13,13,14,13,14,13,15,19,4,15,9,13,14,17,17,14,10,15,16,13,10,15,11,17,7,10,1,2,1,1,3,3,4,1,1,3,3,180,70,12,20,7250,1997/1/13,104393.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Bruno Fernandes,AMC,29,166,174,Portugal,Manchester UFC,16,16,11,15,17,16,10,16,4,3,17,19,8,17,18,16,17,15,14,18,10,17,17,17,17,6,15,15,13,15,13,9,18,14,19,10,12,13,13,3,15,1,1,2,3,3,3,1,1,3,1,1,179,69,13,20,7750,1994/9/8,289979.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Mason Mount,AMC,24,165,170,England,Chelsea,14,12,11,14,15,14,9,12,5,7,15,15,11,15,14,14,15,15,12,12,16,18,13,12,17,14,18,20,15,13,10,9,15,15,20,11,12,6,14,8,12,1,3,2,2,1,3,4,3,2,3,3,178,70,12,20,6894,1999/1/10,89314.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Leroy Sané,AML,27,165,175,"Germany,France,Senegal",FC Bayern München,14,14,18,14,15,16,7,17,3,7,14,11,8,17,13,15,10,14,12,15,14,11,16,4,15,8,11,9,17,16,14,10,15,18,13,11,12,4,14,6,12,2,2,2,4,3,2,1,1,2,4,3,183,80,20,9,7997,1996/1/11,326026.0,,,left,False,True,False,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_1']
İlkay Gündogan,MC,33,165,167,"Germany,Turkey",Manchester City,10,11,14,13,17,14,7,12,6,10,16,14,13,16,15,17,13,16,14,16,14,13,13,10,16,12,16,15,14,16,14,10,13,13,16,13,17,8,15,11,14,1,2,3,3,2,2,1,1,1,3,3,180,80,13,20,8100,1990/10/24,191386.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Yannick Carrasco,AML,30,164,167,"Belgium,Spain,Portugal",A. Madrid,14,13,17,13,14,15,8,13,6,4,14,15,4,17,11,12,10,14,12,15,13,15,16,9,16,7,10,12,16,14,14,10,12,17,13,11,12,10,13,11,12,2,2,1,4,3,1,4,1,3,4,2,180,71,14,20,7400,1993/9/4,164999.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Reece James,DR,24,164,170,England,Chelsea,13,16,11,12,14,14,14,11,9,13,13,7,14,15,16,14,18,16,14,11,16,17,12,13,12,13,15,16,15,12,19,10,15,14,15,18,16,10,15,5,13,1,3,1,1,2,2,2,1,3,4,2,175,90,10,20,7000,1999/12/8,289979.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
David Alaba,DL,31,164,174,"Austria,Philippines,Nigeria",R. Madrid,12,11,12,10,15,15,13,14,13,14,16,14,13,15,13,15,12,16,15,13,15,16,12,15,14,16,15,14,15,12,14,12,18,15,15,13,14,8,15,7,19,2,3,1,2,1,1,4,3,3,2,3,180,78,20,10,7450,1992/6/24,419579.0,,,left,False,True,False,0,0,0,0,True,0,0,0,0,0,0,0,0,['DL_0']
Mateo Kovačić,MC,29,164,172,"Croatia,Austria",Chelsea,10,10,17,8,17,12,10,10,7,12,15,12,15,17,14,16,14,18,11,15,16,17,16,11,13,12,15,17,15,15,16,9,12,14,15,15,13,12,13,8,15,3,2,2,1,2,1,2,4,3,2,2,178,78,11,20,7250,1994/5/6,173988.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Kyle Walker,DR,33,164,164,England,Manchester City,8,11,14,7,13,11,13,8,12,14,13,6,13,13,13,16,13,13,13,12,13,16,10,11,13,14,15,16,19,13,13,11,19,18,17,13,18,5,13,7,14,2,2,4,1,3,3,1,1,2,2,1,178,83,10,20,7500,1990/5/28,202986.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Marco Verratti,MC,31,164,165,Italy,Paris Saint-Germain,14,17,16,10,18,13,6,13,6,12,18,15,15,17,14,17,16,18,14,18,15,14,18,12,14,13,17,13,12,16,16,6,12,12,12,9,14,12,14,13,12,3,1,2,2,2,4,3,4,3,3,2,165,60,10,20,7245,1992/11/5,276164.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Leon Goretzka,MC,28,164,170,Germany,FC Bayern München,5,11,12,14,15,6,16,15,6,12,15,11,15,15,14,17,16,16,15,15,15,18,12,14,18,13,17,18,12,11,15,16,12,15,17,17,16,9,14,14,18,2,1,2,3,2,3,2,3,2,1,1,189,82,10,20,8000,1995/2/6,268492.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Jorginho,"DM,MC",32,164,165,"Italy,Brazil",Chelsea,11,12,12,8,18,9,7,9,2,10,18,18,14,16,10,16,14,19,15,18,18,15,13,15,15,14,17,17,11,14,14,9,14,12,17,9,15,10,15,8,6,1,3,2,1,1,2,2,3,1,2,2,180,65,9,20,7249,1991/12/20,127591.0,,,right,False,False,True,0,0,0,0,0,True,0,True,0,0,0,0,0,"['DM_1', 'MC_2']"
Marquinhos,DC,29,164,165,"Brazil,Portugal",Paris Saint-Germain,4,11,10,8,14,4,15,10,7,16,14,8,16,14,14,17,15,17,17,13,16,17,10,15,8,16,17,15,13,13,16,13,15,14,16,14,15,8,15,8,15,1,1,3,1,3,3,3,1,1,1,3,183,75,10,20,7645,1994/5/14,276164.0,https://img.a.transfermarkt.technology/portrait/header/181767-1672303747.jpg?lm=1,https://www.youtube.com/watch?v=-XS-bTHtMDw,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Phil Foden,"AML,AMC",23,163,180,England,Manchester City,13,13,17,14,17,13,8,12,5,8,17,12,8,17,7,14,13,15,15,16,14,14,16,8,16,9,14,16,15,17,15,7,14,16,15,9,15,6,16,4,13,2,3,2,2,1,2,1,3,2,1,3,171,64,20,9,8000,2000/5/28,139190.0,,,left,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,"['AMC_0', 'AML_1']"
Frenkie de Jong,"DM,MC",26,163,183,Holland,Barcelona,9,11,16,10,17,13,10,8,6,10,16,11,12,16,7,17,11,16,15,18,16,15,15,11,15,14,17,14,14,16,13,10,13,13,13,10,15,2,13,5,17,2,2,1,1,2,2,1,3,3,2,4,181,69,12,20,7450,1997/5/12,269230.0,,,right,False,False,True,0,0,0,0,0,True,0,True,0,0,0,0,0,"['DM_1', 'MC_2']"
Rafael Leão,AML,24,163,176,"Portugal,Angola",AC Milan,5,15,17,15,16,6,11,13,6,4,15,12,7,15,9,13,8,13,11,14,13,14,17,8,15,7,13,13,17,18,16,14,15,16,11,14,14,5,12,8,12,2,1,1,1,2,4,2,2,3,2,1,188,81,14,20,6350,1999/6/10,34423.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Gabriel Jesus,ST,26,162,175,Brazil,Arsenal,7,12,16,16,15,11,15,12,4,6,14,13,8,16,12,15,13,15,14,14,15,13,16,8,16,7,15,16,15,16,15,10,15,15,14,13,13,12,14,8,12,1,1,1,2,2,3,2,1,4,1,4,175,73,13,20,7848,1997/4/3,139190.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Antoine Griezmann,ST,32,162,180,"France,Portugal,Pays Basque",A. Madrid,14,15,16,14,15,15,13,14,4,5,15,13,10,17,12,15,12,11,12,16,13,17,17,10,17,10,12,14,15,14,13,9,15,14,13,10,11,9,11,5,14,3,1,1,3,2,1,3,1,1,1,4,175,71,20,14,7500,1991/3/21,268492.0,,,left,False,True,False,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_1']
Romelu Lukaku,ST,30,162,176,"Belgium,Democratic Republic of Congo",Chelsea,4,10,13,18,13,11,15,14,3,5,13,20,10,14,16,14,16,16,13,11,14,18,13,16,15,5,19,12,14,8,20,16,13,17,14,20,17,10,12,7,6,3,3,3,1,4,1,1,1,2,2,4,191,93,20,12,7984,1993/5/13,405971.0,,,left,False,True,False,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_1']
Jules Koundé,DC,25,162,175,"France,Benin",Barcelona,6,13,12,9,13,5,16,7,8,16,14,8,16,13,14,17,16,14,16,14,14,16,12,14,12,15,16,16,15,16,16,13,15,14,15,14,15,7,14,9,15,3,1,1,1,2,1,1,1,3,2,1,178,70,10,20,7250,1998/11/12,182692.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Declan Rice,DM,24,162,178,"England,Republic of Ireland",West Ham United,7,11,14,9,14,8,12,9,10,14,15,11,17,14,13,15,14,17,15,14,15,17,10,16,16,17,16,17,13,13,13,12,18,13,17,13,17,12,15,6,16,2,2,3,2,1,2,1,1,3,2,1,185,80,11,20,7500,1999/1/14,69595.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Kingsley Coman,AML,27,162,165,"France,Guinea,Guadeloupe",FC Bayern München,11,13,17,12,15,6,9,14,4,7,13,10,8,17,13,13,12,12,12,14,12,14,17,5,14,8,12,12,19,17,13,9,13,17,12,10,13,5,16,13,16,1,1,2,3,4,1,3,1,3,2,2,179,75,12,20,7600,1996/6/13,287670.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Sergej Milinković-Savić,MC,28,162,167,"Serbia,Spain",S.S. Lazio,4,6,14,16,16,15,17,15,3,7,16,13,13,16,14,15,17,12,11,15,13,17,18,14,16,11,16,15,12,12,17,17,20,12,18,17,17,14,16,5,12,2,2,1,3,2,2,1,2,2,1,3,191,82,17,20,8047,1995/2/27,114037.0,,,both,True,False,False,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_1']
Ousmane Dembélé,AMR,26,162,176,"France,Mauritania",Barcelona,13,16,19,12,14,10,7,13,6,4,12,11,5,17,9,11,11,9,8,14,8,13,18,8,14,5,7,11,18,18,11,9,12,18,12,9,11,5,13,14,14,1,1,4,4,1,1,3,1,3,2,3,178,67,20,19,7600,1997/5/15,230768.0,,,both,True,False,False,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_1']
Casemiro,DM,31,161,170,"Brazil,Spain",Manchester UFC,10,11,12,11,14,10,13,14,10,14,14,11,15,14,18,14,16,15,14,12,15,17,12,15,12,18,17,18,11,12,15,13,15,12,17,17,14,17,15,5,12,2,1,1,2,1,2,1,1,2,2,1,185,84,13,20,7600,1992/2/23,347975.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Milan Škriniar,DC,28,161,168,Slovakia,FC Internazionale Milano,4,7,9,10,10,4,17,6,11,18,12,10,17,11,17,16,17,12,13,9,13,18,6,14,10,14,16,16,14,11,16,16,18,15,16,18,15,12,14,3,11,1,3,1,2,3,3,2,4,4,1,2,188,82,9,20,7750,1995/2/11,106922.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Sergio Ramos,DC,37,161,174,Spain,Paris Saint-Germain,9,11,13,13,14,14,20,13,12,16,15,17,16,14,18,15,16,13,10,13,11,20,14,18,12,13,13,14,12,14,15,16,15,13,15,16,13,18,19,13,14,3,2,1,1,3,2,2,2,1,3,2,184,82,13,20,7989,1986/3/30,261204.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Lautaro Martínez,ST,26,161,170,Argentina,FC Internazionale Milano,4,8,14,15,16,8,16,14,3,5,12,15,8,16,18,15,18,13,12,12,13,19,16,12,16,7,15,18,16,17,14,11,16,17,15,13,15,14,13,6,11,2,3,3,1,1,3,3,2,3,3,2,174,79,12,20,7900,1997/8/22,213653.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Christian Eriksen,MC,31,161,170,Denmark,Manchester UFC,16,16,12,14,18,17,4,14,3,5,17,16,6,17,7,15,8,15,15,17,17,16,14,8,15,12,17,16,12,12,12,8,17,11,15,7,14,3,17,4,13,3,3,3,3,3,1,3,1,2,4,1,182,76,15,20,7400,1992/2/14,197186.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Bukayo Saka,AMR,22,161,177,"England,Nigeria",Arsenal,12,14,15,11,14,8,7,12,7,9,13,12,10,15,11,16,11,14,14,15,16,16,16,6,16,9,15,15,17,16,16,9,15,15,15,11,14,8,14,9,18,1,1,1,3,1,3,3,3,1,2,3,178,0,20,11,7000,2001/9/5,57996.0,,,left,False,True,False,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_1']
John Stones,DC,29,161,170,England,Manchester City,5,8,13,8,14,5,14,5,8,13,16,12,16,15,13,15,16,17,15,14,14,13,12,13,14,16,16,17,14,13,12,16,16,15,16,15,16,8,14,9,10,1,3,2,1,2,2,1,2,2,1,3,188,72,12,20,7500,1994/5/28,231983.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Fabinho2,DM,30,161,168,Brazil,Liverpool,6,11,13,9,16,7,14,12,8,15,15,15,16,15,16,16,15,15,14,13,16,15,11,10,12,16,17,15,14,14,14,15,16,14,15,14,17,11,16,7,15,2,2,2,3,2,2,2,1,2,2,3,188,78,7,20,7499,1993/10/23,208785.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Nicolò Barella,MC,26,160,171,Italy,FC Internazionale Milano,12,13,14,11,15,14,7,13,3,11,16,12,17,15,19,14,18,14,13,16,14,19,14,14,15,14,18,20,14,15,16,8,17,15,15,13,16,14,15,9,12,2,3,3,4,2,3,2,1,3,2,2,172,68,9,20,7800,1997/2/7,178076.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
