Name,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),both,left,right,GK,cluster
Unai Simón,0.33333333333333337,0.1111111111111111,0.0,0.0,0.8571428571428571,0.4117647058823529,0.9999999999999999,0.0,0.07142857142857142,0.20000000000000004,0.6000000000000001,0.1176470588235294,0.08333333333333333,0.75,0.75,0.5714285714285714,0.5,0.7222222222222221,0.6153846153846154,0.8125,0.7272727272727273,0.736842105263158,0.14285714285714285,0.5789473684210527,0.0,0.7857142857142857,0.6666666666666667,0.6470588235294117,0.7857142857142856,0.7142857142857143,0.33333333333333337,0.6875,0.46666666666666673,0.7857142857142856,0.6875,0.5555555555555556,0.7222222222222221,0.26666666666666666,0.42105263157894735,0.6875,0.8666666666666667,0.7333333333333334,0.6875,0.6875,0.6666666666666666,0.6363636363636364,0.49999999999999994,0.7647058823529411,0.7272727272727273,0.588235294117647,0.375,0.7857142857142857,0.0,0.0,1.0,1,['GK_0']
Wojciech Szczęsny,0.13333333333333336,0.2222222222222222,0.09090909090909091,0.0,0.6428571428571428,0.0,0.3333333333333333,0.15384615384615385,0.07142857142857142,0.1,0.5333333333333332,0.2941176470588235,0.0,0.4375,0.6875,0.5714285714285714,0.6666666666666665,0.8333333333333333,0.5384615384615385,0.5625,0.5454545454545454,0.736842105263158,0.4285714285714286,0.3684210526315789,0.21428571428571427,0.7142857142857143,0.39999999999999997,0.5882352941176471,0.49999999999999994,0.7857142857142857,0.6,0.8125,0.46666666666666673,0.7142857142857142,0.625,0.7222222222222221,0.7222222222222221,0.26666666666666666,0.6842105263157894,0.4375,0.06666666666666667,0.7333333333333334,0.625,0.625,0.6666666666666666,1.0,0.7142857142857142,0.8235294117647058,0.8181818181818181,0.7647058823529411,0.25,0.6428571428571428,0.0,0.0,1.0,1,['GK_0']
Yann Sommer,0.13333333333333336,0.2222222222222222,0.09090909090909091,0.0,0.7142857142857143,0.2941176470588235,0.4166666666666667,0.07692307692307693,0.07142857142857142,0.1,0.6000000000000001,0.1176470588235294,0.16666666666666669,0.6875,0.75,0.6428571428571429,0.6666666666666665,0.7777777777777777,0.7692307692307694,0.625,0.8181818181818183,0.7894736842105263,0.6428571428571428,0.7894736842105263,0.0,0.8571428571428571,0.6000000000000001,0.6470588235294117,0.6428571428571428,0.7142857142857143,0.8,0.5625,0.8666666666666667,0.6428571428571428,0.6875,0.49999999999999994,0.7777777777777777,0.4,0.894736842105263,0.1875,1.0,0.46666666666666673,0.5625,0.625,0.7222222222222221,0.6363636363636364,0.49999999999999994,0.8235294117647058,0.9090909090909092,0.8823529411764706,0.3125,0.5714285714285714,0.0,0.0,1.0,1,['GK_0']
Samir Handanovič,0.2,0.1111111111111111,0.0,0.2222222222222222,0.6428571428571428,0.47058823529411764,0.5833333333333333,0.0,0.0,0.0,0.3333333333333333,0.1764705882352941,0.08333333333333333,0.4375,0.5625,0.7142857142857143,0.75,0.6666666666666665,0.6153846153846154,0.375,0.7272727272727273,0.736842105263158,0.3571428571428571,0.7894736842105263,0.21428571428571427,0.7857142857142857,0.9333333333333333,0.7058823529411764,0.49999999999999994,0.7142857142857143,0.7333333333333334,0.75,0.8666666666666667,0.49999999999999994,0.75,0.6111111111111112,0.6111111111111112,0.4,0.8421052631578947,0.1875,0.9333333333333333,0.5333333333333334,0.75,0.875,0.22222222222222224,0.7272727272727274,0.35714285714285715,0.8823529411764706,0.9090909090909092,0.588235294117647,0.6875,0.5,0.0,0.0,1.0,1,['GK_0']
Diogo Costa,0.33333333333333337,0.0,0.1818181818181818,0.2222222222222222,0.7142857142857143,0.5882352941176471,0.3333333333333333,0.07692307692307693,0.0,0.0,0.6666666666666667,0.23529411764705882,0.08333333333333333,0.6875,0.8125,0.5714285714285714,0.6666666666666665,0.7777777777777777,0.6923076923076925,0.8125,0.7272727272727273,0.6842105263157894,0.0,0.3684210526315789,0.14285714285714285,0.7142857142857143,0.7333333333333334,0.7058823529411764,0.6428571428571428,0.7857142857142857,0.6666666666666667,0.5625,0.6000000000000001,0.6428571428571428,0.625,0.6111111111111112,0.7222222222222221,0.26666666666666666,0.6842105263157894,0.5,0.9333333333333333,0.5333333333333334,0.625,0.625,0.33333333333333326,0.6363636363636364,0.7142857142857142,0.7058823529411764,0.7272727272727273,0.5294117647058822,0.3125,0.5714285714285714,0.0,0.0,1.0,1,['GK_0']
Álex Remiro,0.26666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.7142857142857143,0.47058823529411764,0.08333333333333333,0.15384615384615385,0.14285714285714285,0.0,0.9333333333333333,0.058823529411764705,0.08333333333333333,0.9375,0.375,0.5,0.5,0.5555555555555556,0.5384615384615385,0.6875,0.6363636363636365,0.5789473684210527,0.2857142857142857,0.5789473684210527,0.0,0.6428571428571428,0.6666666666666667,0.7058823529411764,0.7857142857142856,0.7142857142857143,0.6666666666666667,0.6875,0.5333333333333334,0.7857142857142856,0.625,0.5555555555555556,0.6666666666666665,0.33333333333333337,0.5789473684210527,0.1875,1.0,0.6000000000000001,0.6875,0.5625,0.38888888888888884,0.7272727272727274,0.6428571428571428,0.6470588235294117,0.7272727272727273,0.6470588235294117,0.5,0.6428571428571428,0.0,0.0,1.0,1,['GK_0']
Yassine Bounou,0.2,0.0,0.09090909090909091,0.0,0.4285714285714286,0.47058823529411764,0.5833333333333333,0.07692307692307693,0.0,0.1,0.26666666666666666,0.0,0.16666666666666669,0.25,0.375,0.5,0.5833333333333333,0.6666666666666665,0.8461538461538463,0.4375,0.7272727272727273,0.5789473684210527,0.3571428571428571,0.5263157894736843,0.07142857142857142,0.7857142857142857,0.8,0.7058823529411764,0.5714285714285714,0.6428571428571428,0.4666666666666667,0.6875,0.3333333333333333,0.7857142857142856,0.625,0.6666666666666665,0.6111111111111112,0.06666666666666667,0.7894736842105263,0.75,0.8,0.6000000000000001,0.6875,0.6875,0.16666666666666666,0.8181818181818182,0.6428571428571428,0.8235294117647058,0.6363636363636365,0.35294117647058826,0.5,0.7857142857142857,0.0,1.0,0.0,1,['GK_1']
Aaron Ramsdale,0.06666666666666667,0.2222222222222222,0.1818181818181818,0.2222222222222222,0.7857142857142857,0.2941176470588235,0.4166666666666667,0.15384615384615385,0.07142857142857142,0.1,0.6666666666666667,0.0,0.0,0.6875,0.6875,0.5714285714285714,0.75,0.6666666666666665,0.6153846153846154,0.875,0.7272727272727273,0.7894736842105263,0.6428571428571428,0.631578947368421,0.5714285714285714,0.6428571428571428,0.8,0.5294117647058824,0.42857142857142855,0.8571428571428571,0.5333333333333333,0.625,0.39999999999999997,0.35714285714285715,0.6875,0.6666666666666665,0.7222222222222221,0.4,0.736842105263158,0.1875,0.9333333333333333,0.6000000000000001,0.6875,0.625,0.5,0.7272727272727274,0.7142857142857142,0.8235294117647058,0.7272727272727273,0.4705882352941177,0.4375,0.8571428571428571,0.0,0.0,1.0,1,['GK_0']
Neto,0.26666666666666666,0.2222222222222222,0.1818181818181818,0.2222222222222222,0.6428571428571428,0.4117647058823529,0.4166666666666667,0.0,0.07142857142857142,0.1,0.5333333333333332,0.23529411764705882,0.0,0.5,0.375,0.7857142857142857,0.5,0.7777777777777777,0.7692307692307694,0.625,0.6363636363636365,0.736842105263158,0.3571428571428571,0.5789473684210527,0.14285714285714285,0.8571428571428571,0.6000000000000001,0.7058823529411764,0.7142857142857142,0.8571428571428571,0.8666666666666667,0.6875,0.6000000000000001,0.7857142857142856,0.8125,0.7222222222222221,0.5555555555555556,0.4,0.6842105263157894,0.3125,0.8,0.5333333333333334,0.625,0.625,0.38888888888888884,0.5454545454545455,0.28571428571428564,0.7647058823529411,0.8181818181818181,0.6470588235294117,0.625,0.5714285714285714,0.0,0.0,1.0,1,['GK_0']
André Onana,0.06666666666666667,0.1111111111111111,0.1818181818181818,0.0,0.6428571428571428,0.23529411764705882,0.3333333333333333,0.15384615384615385,0.14285714285714285,0.20000000000000004,0.7333333333333334,0.1176470588235294,0.16666666666666669,0.6875,0.5,0.5714285714285714,0.6666666666666665,0.6666666666666665,0.6153846153846154,0.4375,0.6363636363636365,0.736842105263158,1.0,0.5263157894736843,0.07142857142857142,0.7857142857142857,0.6000000000000001,0.6470588235294117,0.7142857142857142,0.7857142857142857,0.8666666666666667,0.75,0.7333333333333334,0.7142857142857142,0.75,0.6111111111111112,0.5555555555555556,0.4666666666666667,0.736842105263158,0.375,0.8666666666666667,0.6666666666666667,0.625,0.5625,0.7777777777777777,0.7272727272727274,0.5714285714285714,0.7647058823529411,0.6363636363636365,0.7647058823529411,0.125,0.7857142857142857,0.0,0.0,1.0,1,['GK_0']
Emiliano Martínez,0.0,0.0,0.1818181818181818,0.2222222222222222,0.7142857142857143,0.0,0.3333333333333333,0.0,0.0,0.1,0.6000000000000001,0.1764705882352941,0.08333333333333333,0.625,0.375,0.5714285714285714,0.5,0.5555555555555556,0.6923076923076925,0.375,0.6363636363636365,0.6842105263157894,0.5,0.631578947368421,0.7142857142857143,0.6428571428571428,0.6000000000000001,0.7058823529411764,0.5714285714285714,0.8571428571428571,0.7333333333333334,0.6875,0.5333333333333334,0.5714285714285714,0.6875,0.5555555555555556,0.6666666666666665,0.4,0.6842105263157894,0.3125,0.06666666666666667,0.6666666666666667,0.625,0.5,0.5,0.8181818181818182,0.5714285714285714,0.7058823529411764,0.9090909090909092,0.6470588235294117,0.4375,0.5,0.0,0.0,1.0,1,['GK_0']
Weverton,0.06666666666666667,0.2222222222222222,0.1818181818181818,0.1111111111111111,0.6428571428571428,0.23529411764705882,0.08333333333333333,0.0,0.6428571428571428,0.20000000000000004,0.6000000000000001,0.23529411764705882,0.16666666666666669,0.5625,0.875,0.5714285714285714,0.6666666666666665,0.6111111111111112,0.6923076923076925,0.5625,0.6363636363636365,0.736842105263158,0.4285714285714286,0.631578947368421,0.0,0.8571428571428571,0.6666666666666667,0.7058823529411764,0.7142857142857142,0.7142857142857143,0.7333333333333334,0.75,0.8,0.6428571428571428,0.8125,0.7777777777777777,0.7222222222222221,0.8,0.6842105263157894,0.375,0.7333333333333334,0.6000000000000001,0.625,0.6875,0.5555555555555555,0.7272727272727274,0.42857142857142855,0.8235294117647058,0.6363636363636365,0.7647058823529411,0.6875,0.6428571428571428,0.0,0.0,1.0,1,['GK_0']
Alex Meret,0.0,0.1111111111111111,0.09090909090909091,0.0,0.4285714285714286,0.0,0.4166666666666667,0.07692307692307693,0.14285714285714285,0.1,0.3333333333333333,0.1176470588235294,0.16666666666666669,0.4375,0.4375,0.6428571428571429,0.5,0.5555555555555556,0.5384615384615385,0.25,0.7272727272727273,0.5263157894736843,0.14285714285714285,0.42105263157894735,0.14285714285714285,0.8571428571428571,0.6666666666666667,0.7058823529411764,0.5714285714285714,0.9999999999999999,0.8,0.75,0.5333333333333334,0.7142857142857142,0.75,0.6111111111111112,0.5555555555555556,0.13333333333333336,0.5789473684210527,0.625,0.0,0.6000000000000001,0.625,0.5625,0.22222222222222224,0.8181818181818182,0.28571428571428564,0.7647058823529411,0.8181818181818181,0.5294117647058822,0.5,0.4285714285714285,0.0,1.0,0.0,1,['GK_1']
Hugo Lloris,0.06666666666666667,0.2222222222222222,0.36363636363636365,0.2222222222222222,0.5,0.3529411764705882,0.6666666666666666,0.0,0.0,0.30000000000000004,0.3333333333333333,0.0,0.7499999999999999,0.5625,0.875,0.8571428571428571,0.9166666666666665,0.27777777777777773,0.7692307692307694,0.5,0.7272727272727273,0.736842105263158,0.3571428571428571,0.736842105263158,0.3571428571428571,0.8571428571428571,0.8,0.7647058823529411,0.6428571428571428,0.7857142857142857,0.6,0.5625,0.6666666666666667,0.5714285714285714,0.8125,0.6111111111111112,0.7222222222222221,0.06666666666666667,0.6842105263157894,0.8125,0.0,0.39999999999999997,0.5,0.5625,0.611111111111111,0.8181818181818182,0.35714285714285715,0.7647058823529411,0.8181818181818181,0.588235294117647,0.625,0.5,0.0,1.0,0.0,1,['GK_1']
Rui Patrício,0.0,0.2222222222222222,0.36363636363636365,0.1111111111111111,0.5714285714285714,0.058823529411764705,0.5833333333333333,0.0,0.7857142857142857,0.0,0.5333333333333332,0.1764705882352941,0.16666666666666669,0.4375,0.6875,0.5714285714285714,0.5,0.6666666666666665,0.7692307692307694,0.25,0.6363636363636365,0.894736842105263,0.7142857142857143,0.6842105263157894,0.7142857142857143,0.7857142857142857,0.6666666666666667,0.7647058823529411,0.6428571428571428,0.7142857142857143,0.9333333333333333,0.75,0.7333333333333334,0.5714285714285714,0.6875,0.6666666666666665,0.7777777777777777,0.4,0.736842105263158,0.4375,0.8666666666666667,0.7333333333333334,0.3125,0.75,0.2777777777777778,0.8181818181818182,0.35714285714285715,0.8823529411764706,0.8181818181818181,0.11764705882352944,0.5625,0.7142857142857143,0.0,1.0,0.0,1,['GK_1']
Jordan Pickford,0.4,0.1111111111111111,0.0,0.0,0.7142857142857143,0.4117647058823529,0.5833333333333333,0.07692307692307693,0.07142857142857142,0.20000000000000004,0.6000000000000001,0.058823529411764705,0.08333333333333333,0.8125,0.9375,0.6428571428571429,0.75,0.4444444444444445,0.6923076923076925,0.875,0.5454545454545454,0.6842105263157894,0.0,0.6842105263157894,0.0,0.7142857142857143,0.4666666666666666,0.5882352941176471,0.42857142857142855,0.8571428571428571,0.6666666666666667,0.625,0.6666666666666667,0.42857142857142855,0.75,0.6111111111111112,0.6666666666666665,0.7333333333333334,0.631578947368421,0.25,0.8,0.6000000000000001,0.6875,0.625,0.611111111111111,0.6363636363636364,0.7142857142857142,0.8235294117647058,0.7272727272727273,0.6470588235294117,0.5,0.5714285714285714,0.0,1.0,0.0,1,['GK_1']
Walter Benítez,0.26666666666666666,0.2222222222222222,0.09090909090909091,0.2222222222222222,0.7142857142857143,0.2941176470588235,0.4166666666666667,0.0,0.14285714285714285,0.1,0.5333333333333332,0.1176470588235294,0.0,0.4375,0.0625,0.7142857142857143,0.75,0.5555555555555556,0.8461538461538463,0.5625,0.5454545454545454,0.736842105263158,1.0,0.736842105263158,0.7857142857142857,0.7857142857142857,0.8,0.8235294117647058,0.42857142857142855,0.5714285714285714,0.9333333333333333,0.75,0.6666666666666667,0.42857142857142855,0.75,0.8333333333333333,0.7777777777777777,0.2,0.7894736842105263,0.3125,0.7333333333333334,0.6000000000000001,0.75,0.625,0.2777777777777778,0.7272727272727274,0.5714285714285714,0.7058823529411764,0.6363636363636365,0.411764705882353,0.375,0.5714285714285714,0.0,0.0,1.0,1,['GK_0']
David De Gea,0.26666666666666666,0.1111111111111111,0.1818181818181818,0.1111111111111111,0.8571428571428571,0.3529411764705882,0.0,0.07692307692307693,0.07142857142857142,0.1,0.3333333333333333,0.058823529411764705,0.16666666666666669,0.4375,0.25,0.6428571428571429,0.41666666666666663,0.3888888888888889,0.5384615384615385,0.25,0.6363636363636365,0.7894736842105263,0.2857142857142857,0.631578947368421,0.6428571428571428,0.7857142857142857,0.39999999999999997,0.6470588235294117,0.7857142857142856,0.9285714285714285,0.6666666666666667,0.6875,0.8,0.7857142857142856,0.6875,0.6111111111111112,0.6666666666666665,0.26666666666666666,0.736842105263158,0.125,1.0,0.7333333333333334,0.25,0.375,0.2777777777777778,0.8181818181818182,0.5714285714285714,0.7058823529411764,1.0,0.0,0.4375,0.2857142857142857,0.0,0.0,1.0,1,['GK_0']
Gregor Kobel,0.2,0.0,0.0,0.0,0.7857142857142857,0.2941176470588235,0.49999999999999994,0.0,0.07142857142857142,0.1,0.6666666666666667,0.2941176470588235,0.08333333333333333,0.625,0.75,0.7142857142857143,0.75,0.8333333333333333,0.5384615384615385,0.6875,0.4545454545454546,0.8421052631578947,0.0,0.6842105263157894,0.0,0.7142857142857143,0.7333333333333334,0.5882352941176471,0.6428571428571428,0.7142857142857143,0.8,0.75,0.5333333333333334,0.5714285714285714,0.5625,0.5555555555555556,0.6666666666666665,0.2,0.736842105263158,0.1875,0.6666666666666666,0.7333333333333334,0.625,0.6875,0.7222222222222221,0.5454545454545455,0.49999999999999994,0.8235294117647058,0.7272727272727273,0.7058823529411764,0.4375,0.7142857142857143,0.0,0.0,1.0,1,['GK_0']
Uğurcan Çakır,0.0,0.2222222222222222,0.0,0.0,0.7142857142857143,0.0,0.5833333333333333,0.15384615384615385,0.14285714285714285,0.20000000000000004,0.5333333333333332,0.1176470588235294,0.16666666666666669,0.6875,0.5625,0.6428571428571429,0.5833333333333333,0.6111111111111112,0.6923076923076925,0.5,0.6363636363636365,0.8421052631578947,0.2857142857142857,0.6842105263157894,0.0,0.7142857142857143,0.6666666666666667,0.7058823529411764,0.42857142857142855,0.8571428571428571,0.7333333333333334,0.625,0.6000000000000001,0.5714285714285714,0.8125,0.6111111111111112,0.8333333333333333,0.0,0.736842105263158,0.0,0.06666666666666667,0.6000000000000001,0.625,0.625,0.22222222222222224,0.6363636363636364,0.42857142857142855,0.8235294117647058,0.8181818181818181,0.1764705882352941,0.4375,0.6428571428571428,0.0,0.0,1.0,1,['GK_0']
Juan Musso,0.4,0.2222222222222222,0.09090909090909091,0.0,0.5,0.47058823529411764,0.5833333333333333,0.07692307692307693,0.14285714285714285,0.1,0.4666666666666666,0.1176470588235294,0.08333333333333333,0.375,0.25,0.5714285714285714,0.5833333333333333,0.5555555555555556,0.6923076923076925,0.6875,0.5454545454545454,0.736842105263158,0.14285714285714285,0.5789473684210527,0.0,0.6428571428571428,0.8,0.7058823529411764,0.7142857142857142,0.8571428571428571,0.7333333333333334,0.625,0.6000000000000001,0.7857142857142856,0.6875,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.6842105263157894,0.125,0.8,0.6666666666666667,0.5,0.5,0.22222222222222224,0.6363636363636364,0.35714285714285715,0.7058823529411764,0.9090909090909092,0.6470588235294117,0.5,0.7857142857142857,0.0,0.0,1.0,1,['GK_0']
