Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,GK,cluster
Unai Simón,GK,26,154,168,"Spain,Pays Basque",A. Bilbao,6,2,1,1,13,8,13,1,2,3,12,3,2,13,13,13,12,15,13,14,14,15,3,12,1,15,13,12,13,14,7,15,12,13,12,12,15,5,9,12,14,16,15,15,13,14,13,15,16,13,9,15,190,89,10,20,6950,1997/6/11,48957.0,,,right,False,False,True,True,['GK_0']
Wojciech Szczęsny,GK,33,153,169,Poland,Juventus,3,3,2,1,10,1,5,3,2,2,11,6,1,8,12,13,14,17,12,10,12,15,7,8,4,14,9,11,9,15,11,17,12,12,11,15,15,5,14,8,2,16,14,14,13,18,16,16,17,16,7,13,195,90,9,20,7500,1990/4/18,231537.0,,,right,False,False,True,True,['GK_0']
Yann Sommer,GK,35,153,155,Switzerland,Borussia Mönchengladbach,3,3,2,1,11,6,6,2,2,2,12,3,3,12,13,14,14,16,15,11,15,16,10,16,1,16,12,12,11,14,14,13,18,11,12,11,16,7,18,4,16,12,13,14,14,14,13,16,18,18,8,12,183,79,8,20,6649,1988/12/17,76711.0,,,right,False,False,True,True,['GK_0']
Samir Handanovič,GK,39,152,164,Slovenia,FC Internazionale Milano,4,2,1,3,10,9,8,1,1,1,8,4,2,8,10,15,15,14,13,7,14,15,6,16,4,15,17,13,9,14,13,16,18,9,13,13,13,7,17,4,15,13,16,18,5,15,11,17,18,13,14,11,193,89,6,20,6750,1984/7/14,89038.0,,,right,False,False,True,True,['GK_0']
Diogo Costa,GK,24,150,174,"Portugal,Switzerland",FC Porto,6,1,3,3,11,11,5,2,1,1,13,5,2,12,14,13,14,16,14,14,14,14,1,8,3,14,14,13,11,15,12,13,14,11,11,13,15,5,14,9,15,13,14,14,7,14,16,14,16,12,8,12,186,80,13,20,5900,1999/9/19,25350.0,,,right,False,False,True,True,['GK_0']
Álex Remiro,GK,28,150,153,"Spain,Pays Basque",Real San Sebastián,5,2,1,2,11,9,2,3,3,1,17,2,2,16,7,12,12,12,12,12,13,12,5,12,1,13,13,13,13,14,12,15,13,13,11,12,14,6,12,4,16,14,15,13,8,15,15,13,16,14,11,13,192,80,10,20,5493,1995/3/24,42342.0,,,right,False,False,True,True,['GK_0']
Yassine Bounou,GK,32,150,152,"Morocco,Canada",Sevilla,4,1,2,1,7,9,8,2,1,2,7,1,3,5,7,12,13,14,16,8,14,12,6,11,2,15,15,13,10,13,9,15,10,13,11,14,13,2,16,13,13,14,15,15,4,16,15,16,15,9,11,15,191,80,20,11,6050,1991/4/5,34215.0,,,left,False,True,False,True,['GK_1']
Aaron Ramsdale,GK,25,150,162,England,Arsenal,2,3,3,3,12,6,6,3,2,2,13,1,1,12,12,13,15,14,13,15,14,16,10,13,9,13,15,10,8,16,10,14,11,7,12,14,15,7,15,4,15,14,15,14,10,15,16,16,16,11,10,16,191,85,8,20,6400,1998/5/14,92793.0,,,right,False,False,True,True,['GK_0']
Neto,GK,34,150,156,"Brazil,Italy",AFC Bournemouth,5,3,3,3,10,8,6,1,2,2,11,5,1,9,7,16,12,16,15,11,13,15,6,12,3,16,12,13,12,16,15,15,14,13,14,15,12,7,14,6,13,13,14,14,8,13,10,15,17,14,13,12,190,84,7,20,6750,1989/7/19,115992.0,,,right,False,False,True,True,['GK_0']
André Onana,GK,27,149,158,Cameroon,FC Internazionale Milano,2,2,3,1,10,5,5,3,3,3,14,3,3,12,9,13,14,14,13,8,13,15,15,11,2,15,12,12,12,15,15,16,16,12,13,13,12,8,15,7,14,15,14,13,15,15,14,15,15,16,5,15,192,93,6,20,6050,1996/4/2,74038.0,,,right,False,False,True,True,['GK_0']
Emiliano Martínez,GK,31,149,155,Argentina,Aston Villa,1,1,3,3,11,1,5,1,1,2,12,4,2,11,7,13,12,12,14,7,13,14,8,13,11,13,12,13,10,16,13,15,13,10,12,12,14,7,14,6,2,15,14,12,10,16,14,14,18,14,10,11,193,85,10,20,6489,1992/9/2,115992.0,,,right,False,False,True,True,['GK_0']
Weverton,GK,36,148,148,Brazil,SEP,2,3,3,2,10,5,2,1,10,3,12,5,3,10,15,13,14,13,14,10,13,15,7,13,1,16,13,13,12,14,13,16,17,11,14,16,15,13,14,7,12,14,14,15,11,15,12,16,15,16,14,13,189,91,10,20,4744,1987/12/13,20127.0,,,right,False,False,True,True,['GK_0']
Alex Meret,GK,26,147,156,Italy,Parthenope,1,2,2,1,7,1,6,2,3,2,8,3,3,8,8,14,12,12,12,5,14,11,3,9,3,16,13,13,10,18,14,16,13,12,13,13,12,3,12,11,1,14,14,13,5,16,10,15,17,12,11,10,190,80,20,7,5843,1997/3/22,53462.0,,,left,False,True,False,True,['GK_1']
Hugo Lloris,GK,37,147,170,France,Tottenham Hotspur,2,3,5,3,8,7,9,1,1,4,8,1,10,10,15,17,17,7,15,9,14,15,6,15,6,16,15,14,11,15,11,13,15,10,14,13,15,2,14,14,1,11,12,13,12,16,11,15,17,13,13,11,188,82,20,5,6972,1986/12/26,127591.0,,,left,False,True,False,True,['GK_1']
Rui Patrício,GK,35,147,157,Portugal,Associazione Sportiva Roma,1,3,5,2,9,2,8,1,12,1,11,4,3,8,12,13,12,14,15,5,13,18,11,14,11,15,13,14,11,14,16,16,16,10,12,14,16,7,15,8,14,16,9,16,6,16,11,17,17,5,12,14,190,84,20,6,6142,1988/2/15,66537.0,,,left,False,True,False,True,['GK_1']
Jordan Pickford,GK,29,146,152,England,Everton,7,2,1,1,11,8,8,2,2,3,12,2,2,14,16,14,15,10,14,15,12,14,1,14,1,14,10,11,8,16,12,14,15,8,13,13,14,12,13,5,13,14,15,14,12,14,16,16,16,14,11,12,187,77,20,9,6250,1994/3/7,127591.0,,,left,False,True,False,True,['GK_1']
Walter Benítez,GK,30,145,154,"Argentina,France",PSV Eindhoven,5,3,2,3,11,6,6,1,3,2,11,3,1,8,2,15,15,12,16,10,12,15,15,15,12,15,15,15,8,12,16,16,15,8,13,17,16,4,16,6,12,14,16,14,6,15,14,14,15,10,9,12,191,91,8,20,5000,1993/1/19,25000.0,,,right,False,False,True,True,['GK_0']
David De Gea,GK,33,145,178,Spain,Manchester UFC,5,2,3,2,13,7,1,2,2,2,8,2,3,8,5,14,11,9,12,5,13,16,5,13,10,15,9,12,13,17,12,15,17,13,12,13,14,5,15,3,16,16,8,10,6,16,14,14,19,3,10,8,192,76,9,20,6750,1990/11/7,434969.0,,,right,False,False,True,True,['GK_0']
Gregor Kobel,GK,26,145,155,Switzerland,Borussia Dortmund,4,1,1,1,12,6,7,1,2,2,13,6,2,11,13,15,15,17,12,12,11,17,1,14,1,14,14,11,11,14,14,16,13,10,10,12,14,4,15,4,11,16,14,15,14,13,13,16,16,15,10,14,195,88,7,20,5250,1997/12/6,38355.0,,,right,False,False,True,True,['GK_0']
Uğurcan Çakır,GK,27,145,160,Turkey,Trabzonspor A.Ş.,1,3,1,1,11,1,8,3,3,3,11,3,3,12,10,14,13,13,14,9,13,17,5,14,1,14,13,13,8,16,13,14,14,10,14,13,17,1,15,1,2,14,14,14,5,14,12,16,17,6,10,13,191,78,8,20,6193,1996/4/5,35451.0,,,right,False,False,True,True,['GK_0']
Juan Musso,GK,29,145,157,"Argentina,Italy",Atalanta,7,3,2,1,8,9,8,2,3,2,10,3,2,7,5,13,13,12,14,12,12,15,3,12,1,13,15,13,12,16,13,14,14,13,12,12,12,12,14,3,13,15,12,12,5,14,11,14,18,14,11,15,191,93,7,20,5750,1994/5/6,56923.0,,,right,False,False,True,True,['GK_0']
Kepa Arrizabalaga,GK,29,144,160,"Spain,Pays Basque",Chelsea,4,1,2,3,11,7,1,3,3,3,11,6,1,11,8,14,12,14,15,11,12,13,2,10,5,12,13,12,9,15,12,14,12,12,12,11,13,8,12,8,15,14,13,14,5,16,15,15,16,15,13,13,186,90,10,20,6500,1994/10/3,170000.0,,,right,False,False,True,True,['GK_0']
Kevin Trapp,GK,33,144,148,Germany,Eintracht Frankfurt,6,3,1,3,10,8,7,2,2,1,9,3,3,10,8,15,14,16,13,7,14,12,6,9,1,16,17,10,13,14,14,13,15,10,10,16,16,5,15,5,14,13,12,10,10,14,11,17,17,15,12,11,189,88,7,20,6250,1990/7/8,57692.0,,,right,False,False,True,True,['GK_0']
Ivan Provedel,GK,29,144,150,Italy,S.S. Lazio,3,3,2,2,9,1,1,1,2,1,11,1,3,10,6,13,12,12,13,13,13,16,3,10,7,14,15,15,12,14,12,15,13,12,12,12,15,3,13,4,1,13,13,14,4,15,16,14,17,11,13,13,192,84,8,20,4500,1994/3/17,35577.0,,,right,False,False,True,True,['GK_0']
Kasper Schmeichel,GK,37,144,150,"Denmark,England,Poland",OGC Nice,3,3,1,1,8,7,13,3,1,3,8,4,3,10,17,13,15,12,12,13,13,16,2,16,3,13,14,14,12,14,8,12,15,11,12,10,12,10,12,4,15,12,14,14,16,15,14,16,15,16,16,16,189,84,14,20,6000,1986/11/5,74999.0,,,right,False,False,True,True,['GK_0']
Gerónimo Rulli,GK,31,143,159,"Argentina,Italy",Villarreal,6,2,1,1,12,8,6,3,3,1,12,4,3,13,8,15,15,12,13,10,11,11,1,11,2,13,14,11,12,15,7,14,15,11,13,12,13,8,13,5,14,13,14,12,10,13,15,18,17,14,14,13,189,84,8,20,6000,1992/4/10,45995.0,,,right,False,False,True,True,['GK_0']
Koen Casteels,GK,31,143,152,Belgium,VfL Wolfsburg,3,3,2,1,11,5,8,2,1,2,11,3,3,11,14,13,13,14,13,11,13,15,3,15,2,13,14,13,11,15,12,18,14,11,12,12,15,5,14,9,15,17,13,12,12,13,12,14,16,16,8,14,197,86,20,7,6000,1992/6/25,76711.0,,,left,False,True,False,True,['GK_1']
Dominik Livaković,GK,28,143,144,Croatia,GNK Dinamo Zagreb,4,3,3,3,8,7,7,2,3,3,13,4,2,7,4,14,11,14,15,10,14,13,8,14,1,14,14,10,11,15,12,14,13,10,11,13,14,3,11,4,12,14,10,9,4,13,12,19,18,9,16,15,187,79,8,20,6500,1995/1/9,15384.0,,,right,False,False,True,True,['GK_0']
Fernando Pacheco,GK,31,143,145,Spain,Almería,3,3,3,1,12,6,8,2,1,3,13,3,3,12,8,13,13,12,14,11,12,13,5,11,1,13,14,13,10,14,9,12,11,12,10,14,11,8,13,12,12,12,13,14,10,15,14,14,16,15,14,14,186,81,20,10,5500,1992/5/18,19549.0,,,left,False,True,False,True,['GK_1']
Alphonse Areola,GK,30,143,154,"France,Philippines",West Ham United,2,3,2,1,10,4,1,12,2,1,10,5,3,10,8,14,13,15,14,9,12,14,8,10,8,14,15,13,12,14,17,15,15,12,15,14,14,8,12,7,1,14,12,13,8,14,14,14,15,12,12,13,195,94,8,20,6244,1993/2/27,139190.0,,,right,False,False,True,True,['GK_0']
Jeremías Ledesma,GK,30,143,149,"Argentina,Italy",Cádiz,6,2,1,2,7,9,6,2,1,2,8,2,2,9,9,11,15,13,14,11,12,15,3,13,4,12,15,17,11,16,11,14,12,11,11,14,15,5,15,9,16,12,13,12,12,13,17,15,17,13,13,12,186,85,8,20,5493,1993/2/13,16196.0,,,right,False,False,True,True,['GK_0']
Claudio Bravo,GK,40,143,167,"Chile,Spain",Real Hispalis,3,3,9,1,13,7,6,1,2,2,15,8,3,14,12,13,15,13,14,15,13,14,10,16,4,13,16,7,11,12,11,11,16,13,13,12,13,8,10,13,13,12,14,15,10,16,16,12,12,11,10,14,184,84,8,20,6150,1983/4/13,27253.0,,,right,False,False,True,True,['GK_0']
Odysseas Vlachodimos,GK,29,142,142,"Greece,Germany",SL Benfica,4,2,3,1,9,5,8,2,1,3,10,2,1,8,11,14,13,12,14,10,12,13,4,10,3,15,13,13,13,16,12,14,14,12,13,12,13,4,13,5,13,14,8,11,4,16,12,14,18,7,13,14,188,76,9,20,5550,1994/4/26,28960.0,,,right,False,False,True,True,['GK_0']
Anthony Lopes,GK,33,142,154,"Portugal,France",Olympique Lyonnais,2,2,2,3,10,4,6,1,1,3,9,1,3,10,13,14,18,11,12,8,11,15,9,17,5,13,10,10,13,16,14,13,15,13,15,14,14,12,15,6,1,11,14,13,12,14,10,16,16,14,11,13,184,81,20,6,6250,1990/10/1,72876.0,,,left,False,True,False,True,['GK_1']
David Soria,GK,30,142,150,Spain,Getafe,4,2,3,2,7,7,4,2,1,2,8,4,1,5,11,15,13,12,14,8,15,13,9,11,11,15,13,14,9,12,13,16,11,9,11,14,12,8,9,9,13,15,15,15,8,16,12,13,15,16,10,14,192,85,8,20,5600,1993/4/4,20145.0,,,right,False,False,True,True,['GK_0']
Antonio Adán,GK,36,142,155,Spain,Sporting Clube de Portugal,6,2,1,3,7,7,4,2,3,2,8,7,3,8,11,15,15,16,14,8,14,13,4,15,5,15,12,14,10,13,14,14,14,10,11,14,17,6,14,9,12,14,14,14,6,15,11,16,15,14,10,12,190,88,20,7,6100,1987/5/13,34020.0,,,left,False,True,False,True,['GK_1']
David Ospina,GK,35,142,153,"Colombia,France",Al-Nassr Football Club,3,2,2,2,10,7,8,1,3,2,12,1,1,11,10,14,14,14,13,8,14,16,5,13,2,13,12,12,11,15,15,13,17,8,12,12,16,8,15,8,1,11,14,14,11,14,15,14,16,11,11,14,183,79,6,20,6030,1988/8/31,49807.0,,,right,False,False,True,True,['GK_0']
Lukás Hrádecký,GK,34,142,144,"Finland,Slovakia",Bayer 04 Leverkusen,3,3,1,1,9,1,6,1,1,2,10,8,1,8,10,11,14,13,14,8,12,14,8,13,1,10,13,12,13,14,13,15,15,10,11,12,14,6,14,4,1,15,15,13,11,14,13,17,17,14,9,16,192,85,6,20,5737,1989/11/24,76711.0,,,right,False,False,True,True,['GK_0']
Matheus,GK,31,142,145,"Brazil,Portugal",Sporting Clube de Braga,7,2,3,2,10,9,8,3,3,1,12,4,3,10,15,13,16,12,12,9,11,14,3,14,3,13,13,14,13,14,14,14,13,12,13,14,13,5,14,7,11,14,12,16,15,12,15,13,17,17,12,14,190,84,6,20,5634,1992/7/19,8950.0,,,right,False,False,True,True,['GK_0']
José Sá,GK,30,141,145,Portugal,Wolverhampton Wanderers,6,2,3,3,9,9,8,2,3,3,9,5,3,8,9,15,16,13,12,10,13,15,5,11,3,14,16,10,9,14,12,13,13,9,13,12,12,5,15,10,11,14,15,14,13,14,13,15,16,13,12,13,192,84,8,20,5500,1993/1/17,46397.0,,,right,False,False,True,True,['GK_0']
Guglielmo Vicario,GK,27,141,150,Italy,Empoli Football Club,1,1,3,2,5,1,8,1,3,1,8,2,1,8,10,14,14,13,15,11,12,15,9,12,8,13,12,11,11,14,13,16,14,13,15,15,16,9,12,5,1,14,13,14,4,14,13,13,16,12,11,12,194,83,7,20,5000,1996/10/7,21346.0,,,right,False,False,True,True,['GK_0']
Marcelo Grohe,GK,36,141,148,"Brazil,Germany",Al-Ittihad Club Jeddah,7,2,3,3,10,8,10,3,2,1,5,3,2,7,6,14,12,14,14,11,12,15,2,15,1,14,15,15,13,14,13,14,14,12,13,13,12,10,13,6,13,13,13,13,6,15,11,17,16,13,10,12,188,80,8,20,4750,1987/1/13,29414.0,,,right,False,False,True,True,['GK_0']
David Raya,GK,28,140,149,Spain,Brentford,1,2,3,1,10,1,8,2,2,2,13,4,2,11,12,13,13,13,13,14,12,14,13,10,6,13,12,13,12,16,10,12,16,11,12,10,13,5,13,5,1,13,13,13,15,14,13,14,16,17,13,13,183,70,10,20,6000,1995/9/15,46397.0,,,right,False,False,True,True,['GK_0']
Alban Lafont,GK,24,140,160,"France,Burkina Faso",FC Nantes,5,2,1,2,11,9,3,3,2,3,12,2,2,10,7,13,12,12,13,11,12,14,7,13,2,14,11,10,11,14,14,17,15,11,14,13,12,11,13,5,13,14,13,15,7,14,12,14,16,14,12,13,193,82,8,20,4989,1999/1/23,19547.0,,,right,False,False,True,True,['GK_0']
Dean Henderson,GK,26,140,160,England,Manchester UFC,3,3,3,1,11,6,5,3,2,1,12,1,3,10,15,14,14,11,12,8,13,14,13,12,13,12,13,8,13,15,12,14,15,11,12,12,14,7,13,5,12,13,14,15,13,13,14,15,15,10,14,13,188,85,8,20,5989,1997/3/12,139190.0,,,right,False,False,True,True,['GK_0']
Guillermo Ochoa,GK,38,140,148,"Mexico,Spain",CF América,5,1,3,1,11,7,10,3,10,7,11,10,13,9,7,15,14,17,15,9,11,16,7,15,5,13,14,8,13,16,8,12,12,12,12,13,13,7,16,7,1,10,12,12,15,13,13,16,17,7,15,11,185,78,8,20,6008,1985/7/13,74999.0,,,right,False,False,True,True,['GK_0']
Santos,GK,33,140,145,Brazil,FLA,4,1,3,2,10,7,6,2,3,5,10,2,1,8,10,14,13,11,13,11,13,14,14,12,8,13,13,13,12,15,11,15,14,12,13,11,13,13,13,10,12,14,14,14,11,15,15,14,15,14,13,14,188,79,5,20,4255,1990/3/17,9717.0,,,right,False,False,True,True,['GK_0']
Nick Pope,GK,31,140,155,England,Newcastle United,1,2,3,3,7,2,3,1,1,2,10,3,3,7,8,15,13,9,14,6,12,14,4,8,2,15,15,15,8,13,12,18,10,9,10,13,16,8,10,1,2,17,16,15,2,16,8,16,15,13,12,11,196,78,13,20,5994,1992/4/19,115992.0,,,right,False,False,True,True,['GK_0']
Agustín Marchesín,GK,35,140,152,"Argentina,Italy",Vigo,7,2,1,3,8,9,8,1,1,3,12,5,1,8,12,12,14,12,14,11,14,15,7,11,2,15,13,13,10,12,14,14,13,11,12,13,15,9,14,11,13,14,12,13,9,13,14,15,17,13,11,14,188,83,7,20,5250,1988/3/16,20593.0,,,right,False,False,True,True,['GK_0']
Simon Mignolet,GK,35,140,152,Belgium,Club Brugge KV,5,1,3,2,11,8,4,2,3,1,11,3,1,8,10,15,14,14,14,8,13,15,3,10,1,15,11,10,11,15,13,14,14,11,12,14,15,1,13,4,15,14,11,12,7,15,12,15,17,12,14,12,193,88,5,20,5750,1988/3/6,85000.0,,,right,False,False,True,True,['GK_0']
Altay Bayındır,GK,25,140,150,Turkey,Fenerbahçe A.Ş.,5,1,3,2,12,7,8,2,1,3,14,4,1,12,13,15,12,14,8,10,11,12,4,15,2,14,10,12,10,16,10,18,10,10,11,15,15,11,12,9,13,16,10,12,10,16,14,17,17,6,13,10,198,88,8,20,7000,1998/4/14,31279.0,,,right,False,False,True,True,['GK_0']
Andriy Lunin,GK,24,140,156,Ukraine,R. Madrid,3,1,3,2,12,7,9,1,2,1,12,1,2,10,5,13,12,13,12,11,13,15,3,8,3,13,13,14,12,15,12,15,14,11,14,12,13,5,10,3,13,15,14,14,12,13,12,15,16,12,14,11,191,80,10,20,5500,1999/2/11,24317.0,,,right,False,False,True,True,['GK_0']
Zack Steffen,GK,28,140,146,United States,Manchester City,4,1,1,3,9,7,2,3,2,1,10,3,1,10,8,12,12,11,13,11,12,12,3,10,2,13,12,12,13,14,14,15,12,12,11,15,12,7,12,10,15,14,15,13,7,12,13,16,16,12,13,12,191,86,10,20,6000,1995/4/2,92793.0,,,right,False,False,True,True,['GK_0']
Jasper Cillessen,GK,34,140,155,Holland,N.E.C. Nijmegen,5,3,2,2,10,10,4,2,2,2,10,6,3,8,12,14,14,15,13,9,12,16,8,10,3,13,13,14,11,13,13,16,12,11,10,11,12,3,14,16,13,16,14,14,11,16,13,15,14,12,10,13,187,83,10,20,6000,1989/4/22,3999.0,,,right,False,False,True,True,['GK_0']
Łukasz Fabiański,GK,38,140,154,Poland,West Ham United,2,3,2,1,8,7,11,3,3,7,11,4,13,7,10,13,12,16,18,10,12,15,5,8,4,15,14,13,9,15,12,15,13,8,10,13,17,3,15,10,11,13,13,14,7,15,12,15,16,14,12,14,190,83,5,20,6250,1985/4/18,69595.0,,,right,False,False,True,True,['GK_0']
Rui Silva,GK,29,140,145,Portugal,Real Hispalis,4,2,1,1,9,7,8,2,3,2,9,2,2,9,9,13,13,12,13,9,13,13,1,7,3,13,12,14,11,13,14,10,12,11,13,12,12,7,9,6,12,13,14,14,9,16,13,15,16,14,13,13,191,91,20,9,5500,1994/2/7,18389.0,,,left,False,True,False,True,['GK_1']
Mattia Perin,GK,31,140,150,Italy,Juventus,5,5,5,5,7,5,5,5,5,5,7,5,1,7,10,12,17,11,13,6,12,15,3,12,2,14,10,11,12,15,13,15,8,11,10,11,15,5,9,15,1,13,13,14,17,15,11,15,17,15,9,14,188,74,7,20,5500,1992/11/10,53462.0,,,right,False,False,True,True,['GK_0']
Pau López,GK,29,140,143,Spain,Olympique de Marseille,3,2,2,1,11,8,8,3,6,2,14,2,2,10,6,13,15,13,15,8,13,10,5,8,5,15,14,12,13,15,13,13,13,13,12,12,13,9,13,6,14,10,10,8,7,15,14,15,16,14,9,14,189,77,20,9,5992,1994/12/13,74794.0,,,left,False,True,False,True,['GK_1']
Pietro Terracciano,GK,33,139,145,Italy,ACF Fiorentina,5,3,2,2,9,9,10,3,2,2,10,5,1,9,4,14,14,14,14,11,10,13,8,12,7,15,14,10,10,12,15,17,13,9,13,14,14,5,12,6,15,14,16,15,8,14,15,15,15,12,14,16,193,78,6,20,4750,1990/3/8,10769.0,,,right,False,False,True,True,['GK_0']
Martin Dúbravka,GK,34,139,150,Slovakia,Newcastle United,1,1,1,1,11,2,3,2,5,5,12,3,3,10,9,15,14,12,10,12,11,15,14,13,3,15,12,10,13,12,13,15,14,9,10,12,15,10,14,8,1,15,14,13,5,14,14,16,17,14,11,11,190,83,10,20,5750,1989/1/15,52196.0,,,right,False,False,True,True,['GK_0']
Aitor Fernández,GK,32,139,145,"Spain,Pays Basque",Atlético Pamplona,2,2,1,1,10,1,9,1,1,1,11,3,3,10,12,14,12,13,14,9,14,14,3,9,3,13,14,12,12,14,12,12,14,11,12,10,14,8,14,8,1,13,13,14,5,13,13,15,16,14,8,13,182,78,10,20,5391,1991/5/3,25449.0,,,right,False,False,True,True,['GK_0']
Robert Sánchez,GK,26,139,160,Spain,Brighton & Hove Albion,6,3,1,3,11,8,1,1,3,2,13,1,2,13,8,11,14,13,11,9,10,10,9,7,3,11,12,9,12,13,12,18,14,10,12,14,10,3,9,13,15,17,17,11,11,15,15,13,15,14,10,14,197,91,12,20,5484,1997/11/18,28998.0,,,right,False,False,True,True,['GK_0']
Justin Bijlow,GK,25,138,153,Holland,Feyenoord Rotterdam,7,1,3,1,6,9,5,3,3,2,14,2,1,11,9,13,11,12,14,12,13,15,7,12,2,15,14,14,11,14,13,14,10,11,12,11,15,5,12,15,13,14,14,12,8,14,15,15,14,12,9,12,188,84,6,20,5545,1998/1/22,9588.0,,,right,False,False,True,True,['GK_0']
